"yearold","stnum","adopt","fiscal","eelct1","elect2","income","neighbor","religion","gov6099","cit6099","wideodif","year","ideodistgov6099","malideodistgov6099","ideology_relative_berry"
81,6,0,-0.00499999988824129,0,1,116.199996948242,0,8.89999961853027,47.9166717529297,44.7185401916504,9.51667022705078,18,7.77745056152344,7.77745056152344,17.8675454946665
82,6,0,-0.123000003397465,1,0,117.800003051758,1,8.89999961853027,48.625,45.175708770752,10.2250003814697,19,5.13956069946289,5.13956069946289,17.6329619543893
83,6,1,-0.127000004053116,0,0,122,1,8.89999961853027,46.5,42.4867897033691,3.5,20,14.0105667114258,14.0105667114258,19.7941352128983
64,7,0,-0.193000003695488,0,1,90.7399978637695,0,1.29999995231628,82.3928527832031,75.7776336669922,39.3928489685059,1,0,31.622859954834,31.6228595276674
65,7,0,-0.159999996423721,0,1,93.2699966430664,0,1.29999995231628,69.3536529541016,60.3699607849121,26.3536491394043,2,20.1036529541016,20.1036529541016,20.1036529541016
66,7,0,-0.165000006556511,1,0,95.1399993896484,0,1.29999995231628,69.6909713745117,59.8365898132324,26.6909694671631,3,20.4409713745117,20.4409713745117,20.4409713745117
67,7,0,-0.0810000002384186,0,0,100.400001525879,0,1.29999995231628,80.8571395874023,54.470100402832,37.8571395874023,4,31.6071395874023,31.6071395874023,31.6071395874023
68,7,0,-0.0610000006854534,0,1,105.699996948242,1,1.29999995231628,82.8571395874023,67.4717178344727,39.8571395874023,5,32.9553680419922,32.9553680419922,32.9553699493408
69,7,0,-0.136000007390976,0,1,108.300003051758,1,1.29999995231628,77.25,62.0574188232422,34.25,6,27.3482284545898,27.3482284545898,27.3482303619385
70,7,0,-0.204999998211861,1,0,112,1,1.29999995231628,73.6999969482422,55.3426399230957,30.7000007629395,7,23.798225402832,23.798225402832,23.7982273101807
71,7,0,-0.190999999642372,0,0,112,1,1.29999995231628,57.0667610168457,60.7929611206055,14.0667600631714,8,7.16498947143555,7.16498947143555,7.16499137878418
72,7,0,-0.287999987602234,0,1,110.900001525879,1,1.29999995231628,63.0957412719727,64.5829162597656,20.095739364624,9,18.0734252929688,18.0734252929688,16.4469413757324
73,7,0,-0.186000004410744,0,1,114.699996948242,2,1.29999995231628,61.625,74.4727096557617,18.625,10,6.88618850708008,6.88618850708008,16.0715681711833
74,7,0,-0.0590000003576279,1,0,120.5,2,1.29999995231628,70.375,75.0454864501953,27.375,11,8.65309906005859,8.65309906005859,16.6149155752999
75,7,0,-0.0850000008940697,0,0,118,3,1.29999995231628,88.5,78.8268966674805,45.5,12,24.4336090087891,24.4336090087891,25.4732877557928
76,7,0,-0.234999999403954,0,1,115.599998474121,3,1.29999995231628,76,66.6759719848633,33,13,9.45391845703125,9.45391845703125,13.5043223698934
77,7,0,-0.241999998688698,0,1,118.400001525879,3,1.29999995231628,77.6999969482422,62.7371406555176,34.7000007629395,14,11.1539154052734,11.1539154052734,14.6005112330119
78,7,0,-0.123999997973442,1,0,121.099998474121,3,1.29999995231628,70.5,62.3845901489258,27.5,15,3.95391845703125,3.95391845703125,13.3476133346558
79,7,0,-0.0869999974966049,0,0,124.5,3,1.29999995231628,82.0833435058594,73.1269836425781,39.0833396911621,16,26.3892211914062,26.3892211914062,19.2494049072266
80,7,0,-0.046000000089407,0,1,130.199996948242,3,1.29999995231628,70.0833435058594,71.0378112792969,27.0833396911621,17,14.3892211914062,14.3892211914062,13.8621028019832
81,7,0,-0.0689999982714653,0,1,135.399993896484,3,1.29999995231628,71.5950164794922,63.9477195739746,28.5950202941895,18,15.9008941650391,15.9008941650391,13.7458202655499
82,7,1,-0.0780000016093254,1,0,135.899993896484,3,1.29999995231628,91.6545562744141,84.5526504516602,24.3745594024658,19,48.169116973877,48.169116973877,31.1659002304077
64,8,0,-0.308999985456467,1,0,94.9400024414062,0,2.90000009536743,97.217643737793,64.4781265258789,29.9376392364502,1,0,46.4476509094238,46.4476504822572
65,8,0,-0.298000007867813,0,0,98.4100036621094,0,2.90000009536743,88,54.1426696777344,20.7199993133545,2,38.75,38.75,38.75
66,8,0,-0.27700001001358,0,1,94.7600021362305,0,2.90000009536743,87,54.2062110900879,19.7199993133545,3,37.75,37.75,37.75
67,8,0,-0.0329999998211861,0,1,96.0599975585938,0,2.90000009536743,65.2984008789062,45.0646286010742,1.98160004615784,4,16.0484008789062,16.0484008789062,16.0484008789062
